directory,catalog_id,publication_id,author,title_english,title_latin,pl_volume,columns,generation,review_status,translation_model,website,youtube,archive,doi,mapping
Patrologia_Latina/vol_10/Hilary of Poitiers - Book Against Constantius,pl010-008,pub-2670,Hilary of Poitiers,Book Against Constantius,Liber contra Constantium,10,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=w7Q4cCCPM-I,https://archive.org/details/book-against-constantius,,registry
Patrologia_Latina/vol_10/Hilary of Poitiers - Book on the Synods or the Faith of the Easterners,pl010-002,pub-2671,Hilary of Poitiers,Book on the Synods or the Faith of the Easterners,Liber de Synodis seu Fide Orientalium,10,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/liber-de-synodis-seu-fide-orientalium/,https://www.youtube.com/watch?v=VSceYHnbL2g,https://archive.org/details/book-on-the-synods-or-the-faith-of-the-easterners,10.5281/zenodo.17982583,registry
Patrologia_Latina/vol_10/Hilary of Poitiers - Critique of Another Hymn Wrongly Attributed to Hilary,pl010-006,pub-2672,Hilary of Poitiers,Critique of Another Hymn Wrongly Attributed to Hilary,Censura alterius hymni Hilario perperam tributi,10,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=HpG8sL0lL-g,https://archive.org/details/critique-of-another-hymn-wrongly-attributed-to-hilary,,registry
Patrologia_Latina/vol_10/Hilary of Poitiers - Fifteen Fragments from a Historical Work,pl010-010,pub-2673,Hilary of Poitiers,Fifteen Fragments from a Historical Work,Quindecim Fragmenta ex Opere Historico.,10,,legacy-unknown,unreviewed,,,,,,registry
Patrologia_Latina/vol_10/Hilary of Poitiers - Fragments from Other Works of Saint Hilary,pl010-011,pub-2674,Hilary of Poitiers,Fragments from Other Works of Saint Hilary,Fragmenta ex aliis S. Hilarii operibus,10,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=O04IIWI71TE,https://archive.org/details/fragments-from-other-works-of-saint-hilary,,registry
Patrologia_Latina/vol_10/Hilary of Poitiers - Letter to His Daughter Abra,pl010-004,pub-2675,Hilary of Poitiers,Letter to His Daughter Abra,Hilarii epistola ad Abram filiam suam.,10,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=hPrDhWlifW4,https://archive.org/details/saint-hilary-letter-to-abra,,registry
Patrologia_Latina/vol_101/Alcuin of York - Verses on the Cuckoo,pl101-004,pub-2597,Alcuin of York,Verses on the Cuckoo,Versus de Cuculo,101,803-805,gen3,coverage-verified,claude-sonnet-4.5,https://bibliothecarius-modernus.github.io/2026/04/versus-de-cuculo-alcuin-of-york/,https://www.youtube.com/watch?v=BXePSn0j0_A,https://archive.org/details/verses-on-the-cuckoo,,registry
"Patrologia_Latina/vol_102/Magnus of Sens, Archbishop - Booklet on the Mystery of Baptism",pl102-009,pub-2702,"Magnus of Sens, Archbishop",Booklet on the Mystery of Baptism,Libellus de Mysterio baptismatis,102,,legacy-unknown,unreviewed,,,https://www.youtube.com/watch?v=cWZwHxI8MJs,https://archive.org/details/booklet-on-the-mystery-of-baptism,,registry
Patrologia_Latina/vol_102/Pope Saint Leo III - Letters of Pope Saint Leo III,pl102-011,pub-2745,Pope Saint Leo III,Letters of Pope Saint Leo III,Epistolae de Sanctus Leo III Pontifex Romanus,102,,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/05/epistolae-de-sanctus-leo-iii/,https://www.youtube.com/watch?v=rVkoTp1lIvA,https://archive.org/details/letters-of-pope-saint-leo-iii,10.5281/zenodo.17982621,registry
Patrologia_Latina/vol_104/Agobard of Lyon - Book on Hail and Thunder,pl104-001,pub-2594,Agobard of Lyon,Book on Hail and Thunder,Liber de Grandine et Tonitruis,104,29-351,legacy-unknown,unreviewed,,https://bibliothecarius-modernus.github.io/2025/03/liber-de-grandine/,https://www.youtube.com/watch?v=ryWZe_16cwg,https://archive.org/details/book-on-hail-and-thunder,10.5281/zenodo.17982591,registry
